([0.9268181818181818, 0.07318181818181824], [0.922004132231405, 0.07799586776859502], [0.9968568665377177, 0.0031431334622823437])
([0.8222222222222222, 0.1777777777777778], [0.8125, 0.1875], [0.9896572104018913, 0.010342789598108748])
([0.8948717948717949, 0.10512820512820509], [0.8846153846153846, 0.11538461538461542], [0.9959083469721768, 0.004091653027823217])
([0.8753846153846154, 0.12461538461538457], [0.8653846153846154, 0.13461538461538458], [0.9934533551554828, 0.006546644844517169])
([0.9097435897435897, 0.09025641025641029], [0.8991841491841492, 0.10081585081585076], [0.993998908892526, 0.006001091107474044])
([0.9127777777777778, 0.0872222222222222], [0.9090909090909091, 0.09090909090909094], [0.9934988179669031, 0.006501182033096908])
([0.8802702702702703, 0.11972972972972973], [0.8642506142506142, 0.13574938574938578], [0.9916618746405981, 0.008338125359401927])
([0.8863414634146342, 0.11365853658536584], [0.8797117516629712, 0.12028824833702878], [0.9929942916450442, 0.007005708354955842])
([0.9075, 0.09250000000000003], [0.9056818181818181, 0.09431818181818186], [0.9914893617021276, 0.008510638297872353])
([0.8158974358974359, 0.1841025641025641], [0.8059440559440559, 0.19405594405594406], [0.986088379705401, 0.013911620294599025])
([0.8514285714285714, 0.14857142857142858], [0.8441558441558441, 0.1558441558441559], [0.9899696048632218, 0.01003039513677817])
([0.911, 0.08899999999999997], [0.90625, 0.09375], [0.9949468085106383, 0.005053191489361675])
([0.868780487804878, 0.13121951219512196], [0.8636363636363636, 0.13636363636363635], [0.9911779968863519, 0.008822003113648114])
([0.8790909090909091, 0.12090909090909085], [0.875, 0.125], [0.9896034816247582, 0.010396518375241803])
([0.8916279069767442, 0.10837209302325579], [0.8816067653276956, 0.11839323467230445], [0.9950519544779812, 0.004948045522018774])
([0.8177777777777778, 0.18222222222222217], [0.8010101010101011, 0.19898989898989894], [0.9865248226950355, 0.013475177304964503])
([0.8778378378378379, 0.12216216216216214], [0.8630221130221131, 0.13697788697788693], [0.9959746981023577, 0.004025301897642275])
([0.8893023255813953, 0.11069767441860467], [0.8757928118393234, 0.12420718816067655], [0.9952993567540821, 0.0047006432459179015])
([0.8655, 0.13449999999999995], [0.8568181818181818, 0.1431818181818182], [0.9909574468085106, 0.009042553191489389])
([0.8642857142857143, 0.13571428571428568], [0.854978354978355, 0.14502164502164505], [0.9906281661600811, 0.009371833839918908])
([0.8251162790697675, 0.17488372093023252], [0.8060253699788583, 0.19397463002114168], [0.9888668975754576, 0.011133102424542352])
([0.8948051948051948, 0.10519480519480517], [0.8946280991735537, 0.10537190082644632], [0.989776181265543, 0.01022381873445699])
([0.8882857142857142, 0.11171428571428577], [0.8847402597402597, 0.11525974025974028], [0.9908814589665653, 0.00911854103343468])
([0.8535, 0.14649999999999996], [0.8352272727272727, 0.1647727272727273], [0.9917553191489362, 0.00824468085106378])
([0.8744444444444445, 0.12555555555555553], [0.8800505050505051, 0.11994949494949492], [0.9869976359338062, 0.013002364066193817])
([0.862, 0.138], [0.8556818181818182, 0.1443181818181818], [0.988563829787234, 0.011436170212765995])
([0.8594444444444445, 0.14055555555555554], [0.8541666666666666, 0.14583333333333337], [0.9914302600472813, 0.008569739952718702])
([0.8623255813953489, 0.13767441860465113], [0.8483086680761099, 0.15169133192389006], [0.9923305294408709, 0.0076694705591291434])
([0.8629737609329446, 0.13702623906705536], [0.8538961038961039, 0.14610389610389607], [0.9920122887864823, 0.007987711213517712])
([0.8729591836734694, 0.12704081632653064], [0.8732954545454545, 0.12670454545454546], [0.9897849462365591, 0.010215053763440896])
([0.8050483351235231, 0.19495166487647686], [0.7984449760765551, 0.20155502392344493], [0.9878324844368988, 0.01216751556310125])
([0.8474489795918367, 0.15255102040816326], [0.8403409090909091, 0.15965909090909092], [0.9908602150537634, 0.009139784946236573])
([0.8474489795918367, 0.15255102040816326], [0.8414772727272727, 0.15852272727272732], [0.9887096774193549, 0.011290322580645107])
([0.8394199785177229, 0.16058002148227712], [0.8415071770334929, 0.15849282296650713], [0.9861346915676288, 0.013865308432371215])
([0.7793712079426365, 0.22062879205736352], [0.777027027027027, 0.22297297297297303], [0.9857599535018889, 0.014240046498111059])
([0.8863636363636364, 0.11363636363636365], [0.8868801652892562, 0.11311983471074383], [0.9897360703812317, 0.01026392961876832])
([0.9044526901669759, 0.09554730983302406], [0.9008264462809917, 0.09917355371900827], [0.9941348973607038, 0.0058651026392961825])
([0.8492935635792779, 0.15070643642072212], [0.8566433566433567, 0.14335664335664333], [0.9853873724841467, 0.01461262751585335])
([0.9030612244897959, 0.09693877551020413], [0.8992224880382775, 0.10077751196172247], [0.9934917940011319, 0.006508205998868144])
([0.9001074113856069, 0.0998925886143931], [0.90311004784689, 0.09688995215311003], [0.989247311827957, 0.010752688172043001])
([0.8902371759514617, 0.10976282404853832], [0.8921990171990172, 0.10780098280098283], [0.9902644580063935, 0.009735541993606489])
([0.8629737609329446, 0.13702623906705536], [0.8525974025974026, 0.14740259740259742], [0.9929339477726574, 0.0070660522273425785])
([0.8931707317073171, 0.10682926829268291], [0.8910569105691057, 0.10894308943089426], [0.992811296534018, 0.007188703465981994])
